data_year,victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,age_range_low_num,age_range_high_num,data_year,agency_id,nibrs_month_id,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,orig_format,did,data_year,offense_id,offense_code,attempt_complete_flag,location_id,num_premises_entered,method_entry_code,data_year,suspect_using_id,suspect_using_code,suspect_using_name
2021,164742810,149318304,2,1,,,,104,NS,X,99,50,,,,2021,2,40413524,f,2022-02-23 03:02:56.479,2021-01-01,f,3,6,,ACCEPTED,,X,128744489,2021,179023731,290,C,26,,,2021,3,D,Drugs/Narcotics
2021,164742811,149318305,1,1,,,,104,NS,X,99,50,,,,2021,2,40413524,f,2022-02-23 03:02:57.617,2021-01-01,f,9,6,,ACCEPTED,,X,128744492,2021,179023732,13A,C,35,,,2021,1,A,Alcohol
2021,164742813,149318306,1,1,,,,104,NS,X,99,50,,,,2021,2,40413524,f,2022-02-23 03:02:58.721,2021-01-01,f,3,6,,ACCEPTED,,X,128744495,2021,179023734,290,C,44,,,2021,4,N,Not Applicable
2021,164742818,149318308,1,8,,,,104,NS,X,99,50,,,,2021,2,40413524,f,2022-02-23 03:03:01.222,2021-01-01,f,22,6,,ACCEPTED,,X,128744501,2021,179023737,35A,C,25,,,2021,3,D,Drugs/Narcotics
2021,164742819,149318309,1,4,,,,37,34,F,30,20,R,34,,2021,2,40413524,f,2022-02-23 03:03:02.359,2021-01-01,f,20,6,,ACCEPTED,,X,128744504,2021,179023738,13B,C,35,,,2021,4,N,Not Applicable
2021,164742834,149318323,1,4,,,,44,41,F,10,10,R,41,,2021,2,40413524,f,2022-02-23 03:03:19.924,2021-01-02,f,1,6,,ACCEPTED,,X,128744546,2021,179023755,13B,C,8,,,2021,1,A,Alcohol
2021,164742837,149318325,1,1,,,,104,NS,X,99,50,,,,2021,2,40413524,f,2022-02-23 03:03:22.051,2021-01-04,f,6,6,,ACCEPTED,,X,128744552,2021,179023757,290,C,98,,,2021,4,N,Not Applicable
2021,164742843,149318329,1,4,,,,67,64,M,10,20,R,64,,2021,2,40413524,f,2022-02-23 03:03:25.871,2021-01-05,f,16,6,,ACCEPTED,,X,128744564,2021,179023764,13A,C,35,,,2021,1,A,Alcohol
2021,164742844,149318330,1,4,,,,30,27,M,20,20,R,27,,2021,2,40413524,f,2022-02-23 03:03:26.991,2021-01-05,f,19,6,,ACCEPTED,,X,128744567,2021,179023765,240,C,37,,,2021,4,N,Not Applicable
2021,164742848,149318334,1,8,,,,104,NS,X,99,50,,,,2021,2,40413524,f,2022-02-23 03:03:31.49,2021-01-06,f,11,6,,ACCEPTED,,X,128744579,2021,179023769,35A,C,23,,,2021,3,D,Drugs/Narcotics
2021,164742849,149318335,1,1,,,,104,NS,X,99,50,,,,2021,2,40413524,f,2022-02-23 03:03:32.473,2021-01-06,f,12,6,,ACCEPTED,,X,128744582,2021,179023770,23C,C,44,,,2021,4,N,Not Applicable
